#====================================================================
#
#var gq = {};
#load manzil1,7.js + manzil2,3,4.js + manzil5,6.js
#word for word translation:
#var str = ''; for (var ct = 0; ct < 4; ct++) { gq[['MANZIL1','MANZIL234','MANZIL56','MANZIL7'][ct]].slice(1).forEach(function (it) { str += it.replace(/⚓/gm, '\t').replace(/★/gm, '\r\n').replace(/.*\t(.*)\t.*\r\n/gm, '$1|').slice(0, -1) + '\r\n'; }); } console.log(str);
#load suras from tanzil.net quran-data.js QuranData.Sura
#morphological data:
#var s = 1, a = 0, w, str = ''; for (var ct = 0; ct < 4; ct++) { gq[['MANZIL1','MANZIL234','MANZIL56','MANZIL7'][ct]].slice(1).forEach(function (it) { w = 1; if (a >= suras[s][1]) { s++; a = 1; } else { a++; } str += it.replace(/⚓/gm, '\t').replace(/★/gm, '\r\n').replace(/(.*\t).*\t(.*?)\|(.*\r\n)/gm, function (m, c1, c2, c3) { return '(' + s + ':' + a + ':' + w++ + ')\t' + c1 + c2 + '\t' + c3; }); }); } console.log(str);
#
#====================================================================

LOCATION	FORM	TAG	FEATURES
(19:19:1)	qaAla	V	PERF|LEM:qaAla|ROOT:qwl|3MS
(19:19:2)	<in~amaA^	 ACC	LEM:<in~|SP:<in~
(19:19:3)	>anaA"	 PRON	1S
(19:19:4)	rasuwlu	 N	LEM:rasuwl|ROOT:rsl|M|NOM
(19:19:5)	rab~iki	 N	LEM:rab~|ROOT:rbb|M|GEN
(19:19:6)	li>ahaba	 V	IMPF|LEM:wahaba|ROOT:whb|1S|MOOD:SUBJ
(19:19:7)	laki	 PRON	2FS
(19:19:8)	gula`mFA	 N	LEM:gula`m|ROOT:glm|M|INDEF|ACC
(19:19:9)	zakiy~FA	 ADJ	LEM:zakiy~|ROOT:zkw|MS|INDEF|ACC
(19:20:1)	qaAlato	V	PERF|LEM:qaAla|ROOT:qwl|3FS
(19:20:2)	>an~aY`	 INTG	LEM:>an~aY`|ROOT:Any
(19:20:3)	yakuwnu	 V	IMPF|LEM:kaAna|ROOT:kwn|SP:kaAn|3MS
(19:20:4)	liY	 PRON	1S
(19:20:5)	gula`mN	 N	LEM:gula`m|ROOT:glm|M|INDEF|NOM
(19:20:6)	walamo	 NEG	LEM:lam
(19:20:7)	yamosasoniY	 V	IMPF|LEM:mas~a|ROOT:mss|3MS|MOOD:JUS
(19:20:8)	ba$arN	 N	LEM:ba$ar|ROOT:b$r|M|INDEF|NOM
(19:20:9)	walamo	 NEG	LEM:lam
(19:20:10)	>aku	 V	IMPF|LEM:kaAna|ROOT:kwn|SP:kaAn|1S|MOOD:JUS
(19:20:11)	bagiy~FA	 N	LEM:bagiy~|ROOT:bgy|M|INDEF|ACC
(19:21:1)	qaAla	V	PERF|LEM:qaAla|ROOT:qwl|3MS
(19:21:2)	ka*a`liki	 DEM	LEM:*a`lik|MS
(19:21:3)	qaAla	 V	PERF|LEM:qaAla|ROOT:qwl|3MS
(19:21:4)	rab~uki	 N	LEM:rab~|ROOT:rbb|M|NOM
(19:21:5)	huwa	 PRON	3MS
(19:21:6)	EalaY~a	 P	LEM:EalaY`
(19:21:7)	hay~inN	 N	LEM:hay~in|ROOT:hwn|MS|INDEF|NOM
(19:21:8)	walinajoEalahu,^	 V	IMPF|LEM:jaEala|ROOT:jEl|1P|MOOD:SUBJ
(19:21:9)	'aAyapF	 N	LEM:'aAyap|ROOT:Ayy|FS|INDEF|ACC
(19:21:10)	l~iln~aAsi	 N	LEM:n~aAs|ROOT:nws|MP|GEN
(19:21:11)	waraHomapF	 N	LEM:raHomap|ROOT:rHm|F|INDEF|ACC
(19:21:12)	m~in~aA	 P	LEM:min
(19:21:13)	wakaAna	 V	PERF|LEM:kaAna|ROOT:kwn|SP:kaAn|3MS
(19:21:14)	>amorFA	 N	LEM:>amor|ROOT:Amr|M|INDEF|ACC
(19:21:15)	m~aqoDiy~FA	 ADJ	PASS|PCPL|LEM:m~aqoDiy~|ROOT:qDy|M|INDEF|ACC
(19:22:1)	faHamalatohu	V	PERF|LEM:Hamala|ROOT:Hml|3FS
(19:22:2)	fa{ntaba*ato	 V	PERF|(VIII)|LEM:{ntaba*ato|ROOT:nb*|3FS
(19:22:3)	bihi.	 PRON	3MS
(19:22:4)	makaAnFA	 LOC	LEM:m~akaAn|ROOT:kwn|M|ACC
(19:22:5)	qaSiy~FA	 ADJ	LEM:qaSiy~|ROOT:qSw|MS|INDEF|ACC
(19:23:1)	fa>ajaA^'ahaA	V	PERF|LEM:jaA^'a|ROOT:jyA|3MS
(19:23:2)	{lomaxaADu	 N	LEM:maxaAD|ROOT:mxD|M|NOM
(19:23:3)	<ilaY`	 P	LEM:<ilaY`
(19:23:4)	ji*oEi	 N	LEM:ji*oE|ROOT:j*E|M|GEN
(19:23:5)	{ln~axolapi	 N	LEM:n~axolap|ROOT:nxl|F|GEN
(19:23:6)	qaAlato	 V	PERF|LEM:qaAla|ROOT:qwl|3FS
(19:23:7)	ya`layotaniY	 ACC	LEM:layot|SP:<in~
(19:23:8)	mit~u	 V	PERF|LEM:m~aAta|ROOT:mwt|1S
(19:23:9)	qabola	 T	LEM:qabol|ROOT:qbl|ACC
(19:23:10)	ha`*aA	 DEM	LEM:ha`*aA|MS
(19:23:11)	wakuntu	 V	PERF|LEM:kaAna|ROOT:kwn|SP:kaAn|1S
(19:23:12)	nasoyFA	 N	LEM:nasoy|ROOT:nsy|M|INDEF|ACC
(19:23:13)	m~ansiy~FA	 N	PASS|PCPL|LEM:m~ansiy~|ROOT:nsy|M|INDEF|ACC
(19:24:1)	fanaAdaY`haA	V	PERF|(III)|LEM:naAdaY`|ROOT:ndw|3MS
(19:24:2)	min	 P	LEM:min
(19:24:3)	taHotihaA^	 N	LEM:taHot|ROOT:tHt|GEN
(19:24:4)	>al~aA	 INT	LEM:>an
(19:24:5)	taHozaniY	 V	IMPF|LEM:yaHozun|ROOT:Hzn|2FS|MOOD:JUS
(19:24:6)	qado	 CERT	LEM:qad
(19:24:7)	jaEala	 V	PERF|LEM:jaEala|ROOT:jEl|3MS
(19:24:8)	rab~uki	 N	LEM:rab~|ROOT:rbb|M|NOM
(19:24:9)	taHotaki	 LOC	LEM:taHot|ROOT:tHt|ACC
(19:24:10)	sariy~FA	 N	LEM:sariy~|ROOT:sry|M|INDEF|ACC
(19:25:1)	wahuz~iY^	V	IMPV|LEM:huz~i|ROOT:hzz|2FS
(19:25:2)	<ilayoki	 P	LEM:<ilaY`
(19:25:3)	biji*oEi	 N	LEM:ji*oE|ROOT:j*E|M|GEN
(19:25:4)	{ln~axolapi	 N	LEM:n~axolap|ROOT:nxl|F|GEN
(19:25:5)	tusa`qiTo	 V	IMPF|(III)|LEM:tusa`qiTo|ROOT:sqT|3FS|MOOD:JUS
(19:25:6)	Ealayoki	 P	LEM:EalaY`
(19:25:7)	ruTabFA	 N	LEM:ruTab|ROOT:rTb|M|INDEF|ACC
(19:25:8)	janiy~FA	 ADJ	LEM:janiy~|ROOT:jny|MS|INDEF|ACC
(19:26:1)	fakuliY	V	IMPV|LEM:>akala|ROOT:Akl|2FS
(19:26:2)	wa{$orabiY	 V	IMPV|LEM:$ariba|ROOT:$rb|2FS
(19:26:3)	waqar~iY	 V	IMPV|LEM:taqar~a|ROOT:qrr|2FS
(19:26:4)	EayonFA	 N	LEM:Eayon|ROOT:Eyn|F|INDEF|ACC
(19:26:5)	fa<im~aA	 EXL	LEM:<im~aA
(19:26:6)	tarayin~a	 V	IMPF|LEM:ra'aA|ROOT:rAy|2FS
(19:26:7)	mina	 P	LEM:min
(19:26:8)	{loba$ari	 N	LEM:ba$ar|ROOT:b$r|M|GEN
(19:26:9)	>aHadFA	 N	LEM:>aHad|ROOT:AHd|M|INDEF|ACC
(19:26:10)	faquwliY^	 V	IMPV|LEM:qaAla|ROOT:qwl|2FS
(19:26:11)	<in~iY	 ACC	LEM:<in~|SP:<in~
(19:26:12)	na*arotu	 V	PERF|LEM:na*aro|ROOT:n*r|1S
(19:26:13)	lilr~aHoma`ni	 N	LEM:r~aHoma`n|ROOT:rHm|MS|GEN
(19:26:14)	SawomFA	 N	LEM:Sawom|ROOT:Swm|M|INDEF|ACC
(19:26:15)	falano	 NEG	LEM:lan
(19:26:16)	>ukal~ima	 V	IMPF|(II)|LEM:kal~ama|ROOT:klm|1S|MOOD:SUBJ
(19:26:17)	{loyawoma	 T	LEM:yawom|ROOT:ywm|M|ACC
(19:26:18)	<insiy~FA	 N	LEM:<insiy~|ROOT:Ans|M|INDEF|ACC
(19:27:1)	fa>atato	V	PERF|LEM:>ataY|ROOT:Aty|3FS
(19:27:2)	bihi.	 PRON	3MS
(19:27:3)	qawomahaA	 N	LEM:qawom|ROOT:qwm|M|ACC
(19:27:4)	taHomiluhu,	 V	IMPF|LEM:Hamala|ROOT:Hml|3FS
(19:27:5)	qaAluwA@	 V	PERF|LEM:qaAla|ROOT:qwl|3MP
(19:27:6)	ya`maroyamu	 PN	LEM:maroyam|F|NOM
(19:27:7)	laqado	 CERT	LEM:qad
(19:27:8)	ji}oti	 V	PERF|LEM:jaA^'a|ROOT:jyA|2FS
(19:27:9)	$ayo_#FA	 N	LEM:$aYo'|ROOT:$yA|M|INDEF|ACC
(19:27:10)	fariy~FA	 ADJ	LEM:fariy~|ROOT:fry|MS|INDEF|ACC
(19:28:1)	ya`^>uxota	N	LEM:>uxot|ROOT:Axw|FS|ACC
(19:28:2)	ha`ruwna	 PN	LEM:ha`ruwn|M|GEN
(19:28:3)	maA	 NEG	LEM:maA
(19:28:4)	kaAna	 V	PERF|LEM:kaAna|ROOT:kwn|SP:kaAn|3MS
(19:28:5)	>abuwki	 N	LEM:>abN|ROOT:Abw|MS|NOM
(19:28:6)	{mora>a	 N	LEM:{mora>|ROOT:mrA|M|ACC
(19:28:7)	sawo'K	 N	LEM:sawo'|ROOT:swA|M|INDEF|GEN
(19:28:8)	wamaA	 NEG	LEM:maA
(19:28:9)	kaAnato	 V	PERF|LEM:kaAna|ROOT:kwn|SP:kaAn|3FS
(19:28:10)	>um~uki	 N	LEM:>um~|ROOT:Amm|FS|NOM
(19:28:11)	bagiy~FA	 N	LEM:bagiy~|ROOT:bgy|M|INDEF|ACC
(19:29:1)	fa>a$aArato	V	PERF|(IV)|LEM:>a$aArato|ROOT:$wr|3FS
(19:29:2)	<ilayohi	 P	LEM:<ilaY`
(19:29:3)	qaAluwA@	 V	PERF|LEM:qaAla|ROOT:qwl|3MP
(19:29:4)	kayofa	 INTG	LEM:kayof|ROOT:kyf
(19:29:5)	nukal~imu	 V	IMPF|(II)|LEM:kal~ama|ROOT:klm|1P
(19:29:6)	man	 REL	LEM:man
(19:29:7)	kaAna	 V	PERF|LEM:kaAna|ROOT:kwn|SP:kaAn|3MS
(19:29:8)	fiY	 P	LEM:fiY
(19:29:9)	{lomahodi	 N	LEM:mahod|ROOT:mhd|M|GEN
(19:29:10)	Sabiy~FA	 N	LEM:Sabiy~|ROOT:Sbw|M|INDEF|ACC
(19:30:1)	qaAla	V	PERF|LEM:qaAla|ROOT:qwl|3MS
(19:30:2)	<in~iY	 ACC	LEM:<in~|SP:<in~
(19:30:3)	Eabodu	 N	LEM:Eabod|ROOT:Ebd|M|NOM
(19:30:4)	{ll~ahi	 PN	LEM:{ll~ah|ROOT:Alh|GEN
(19:30:5)	'aAtaY`niYa	 V	PERF|(IV)|LEM:A^taY|ROOT:Aty|3MS
(19:30:6)	{lokita`ba	 N	LEM:kita`b|ROOT:ktb|M|ACC
(19:30:7)	wajaEalaniY	 V	PERF|LEM:jaEala|ROOT:jEl|3MS
(19:30:8)	nabiy~FA	 N	LEM:n~abiY~|ROOT:nbA|M|INDEF|ACC
(19:31:1)	wajaEalaniY	V	PERF|LEM:jaEala|ROOT:jEl|3MS
(19:31:2)	mubaArakFA	 N	PASS|PCPL|(III)|LEM:mubaArak|ROOT:brk|M|INDEF|ACC
(19:31:3)	>ayona	 LOC	LEM:>ayon
(19:31:4)	maA	 REL	LEM:maA
(19:31:5)	kuntu	 V	PERF|LEM:kaAna|ROOT:kwn|SP:kaAn|1S
(19:31:6)	wa>awoSa`niY	 V	PERF|(IV)|LEM:>awoSa`|ROOT:wSy|3MS
(19:31:7)	bi{lS~alaw`pi	 N	LEM:Salaw`p|ROOT:Slw|F|GEN
(19:31:8)	wa{lz~akaw`pi	 N	LEM:zakaw`p|ROOT:zkw|F|GEN
(19:31:9)	maA	 REL	LEM:maA
(19:31:10)	dumotu	 V	PERF|LEM:daAmu|ROOT:dwm|1S
(19:31:11)	Hay~FA	 N	LEM:Hay~|ROOT:Hyy|MS|INDEF|ACC
(19:32:1)	wabar~F[A	N	LEM:bar~|ROOT:brr|M|INDEF|ACC
(19:32:2)	biwa`lidatiY	 N	LEM:waAlid|ROOT:wld|F|GEN
(19:32:3)	walamo	 NEG	LEM:lam
(19:32:4)	yajoEaloniY	 V	IMPF|LEM:jaEala|ROOT:jEl|3MS|MOOD:JUS
(19:32:5)	jab~aArFA	 N	LEM:jab~aAr|ROOT:jbr|MS|INDEF|ACC
(19:32:6)	$aqiy~FA	 ADJ	LEM:$aqiy~|ROOT:$qw|MS|INDEF|ACC
(19:33:1)	wa{ls~ala`mu	N	LEM:sala`m|ROOT:slm|M|NOM
(19:33:2)	EalaY~a	 P	LEM:EalaY`
(19:33:3)	yawoma	 T	LEM:yawom|ROOT:ywm|M|ACC
(19:33:4)	wulidt~u	 V	PERF|PASS|LEM:walada|ROOT:wld|1S
(19:33:5)	wayawoma	 T	LEM:yawom|ROOT:ywm|M|ACC
(19:33:6)	>amuwtu	 V	IMPF|LEM:m~aAta|ROOT:mwt|1S
(19:33:7)	wayawoma	 T	LEM:yawom|ROOT:ywm|M|ACC
(19:33:8)	>uboEavu	 V	IMPF|PASS|LEM:baEava|ROOT:bEv|1S
(19:33:9)	Hay~FA	 N	LEM:Hay~|ROOT:Hyy|MS|INDEF|ACC
(19:34:1)	*a`lika	DEM	LEM:*a`lik|MS
(19:34:2)	EiysaY	 PN	LEM:EiysaY|NOM
(19:34:3)	{bonu	 N	LEM:{bon|ROOT:bny|M|NOM
(19:34:4)	maroyama	 PN	LEM:maroyam|F|GEN
(19:34:5)	qawola	 N	VN|LEM:qawol|ROOT:qwl|M|ACC
(19:34:6)	{loHaq~i	 N	LEM:Haq~|ROOT:Hqq|M|GEN
(19:34:7)	{l~a*iY	 REL	LEM:{l~a*iY|MS
(19:34:8)	fiyhi	 P	LEM:fiY
(19:34:9)	yamotaruwna	 V	IMPF|(VIII)|LEM:yamotaru|ROOT:mry|3MP
(19:35:1)	maA	NEG	LEM:maA
(19:35:2)	kaAna	 V	PERF|LEM:kaAna|ROOT:kwn|SP:kaAn|3MS
(19:35:3)	lil~ahi	 PN	LEM:{ll~ah|ROOT:Alh|GEN
(19:35:4)	>an	 SUB	LEM:>an
(19:35:5)	yat~axi*a	 V	IMPF|(VIII)|LEM:{t~axa*a|ROOT:Ax*|3MS|MOOD:SUBJ
(19:35:6)	min	 P	LEM:min
(19:35:7)	waladK	 N	LEM:walad|ROOT:wld|M|INDEF|GEN
(19:35:8)	suboHa`nahu,^	 N	LEM:suboHa`n|ROOT:sbH|M|ACC
(19:35:9)	<i*aA	 T	LEM:<i*aA
(19:35:10)	qaDaY`^	 V	PERF|LEM:qaDaY`^|ROOT:qDy|3MS
(19:35:11)	>amorFA	 N	LEM:>amor|ROOT:Amr|M|INDEF|ACC
(19:35:12)	fa<in~amaA	 ACC	LEM:<in~|SP:<in~
(19:35:13)	yaquwlu	 V	IMPF|LEM:qaAla|ROOT:qwl|3MS
(19:35:14)	lahu,	 PRON	3MS
(19:35:15)	kun	 V	IMPV|LEM:kaAna|ROOT:kwn|SP:kaAn|2MS
(19:35:16)	fayakuwnu	 V	IMPF|LEM:kaAna|ROOT:kwn|SP:kaAn|3MS
(19:36:1)	wa<in~a	ACC	LEM:<in~|SP:<in~
(19:36:2)	{ll~aha	 PN	LEM:{ll~ah|ROOT:Alh|ACC
(19:36:3)	rab~iY	 N	LEM:rab~|ROOT:rbb|M|NOM
(19:36:4)	warab~ukumo	 N	LEM:rab~|ROOT:rbb|M|NOM
(19:36:5)	fa{Eobuduwhu	 V	IMPV|LEM:Eabada|ROOT:Ebd|2MP
(19:36:6)	ha`*aA	 DEM	LEM:ha`*aA|MS
(19:36:7)	Sira`TN	 N	LEM:Sira`T|ROOT:SrT|M|INDEF|NOM
(19:36:8)	m~usotaqiymN	 N	ACT|PCPL|(X)|LEM:m~usotaqiym|ROOT:qwm|M|INDEF|NOM
(19:37:1)	fa{xotalafa	V	PERF|(VIII)|LEM:{xotalafa|ROOT:xlf|3MS
(19:37:2)	{lo>aHozaAbu	 N	LEM:Hizob|ROOT:Hzb|MP|NOM
(19:37:3)	min[	 P	LEM:min
(19:37:4)	bayonihimo	 N	LEM:bayon|ROOT:byn|GEN
(19:37:5)	fawayolN	 N	LEM:wayol|M|INDEF|NOM
(19:37:6)	l~il~a*iyna	 REL	LEM:{l~a*iY|MP
(19:37:7)	kafaruwA@	 V	PERF|LEM:kafara|ROOT:kfr|3MP
(19:37:8)	min	 P	LEM:min
(19:37:9)	m~a$ohadi	 N	LEM:m~a$ohad|ROOT:$hd|M|GEN
(19:37:10)	yawomK	 N	LEM:yawom|ROOT:ywm|M|INDEF|GEN
(19:37:11)	EaZiymK	 ADJ	LEM:EaZiym|ROOT:EZm|MS|INDEF|GEN
(19:38:1)	>asomiEo	V	IMPV|(IV)|LEM:>asomaEa|ROOT:smE|2MS
(19:38:2)	bihimo	 PRON	3MP
(19:38:3)	wa>aboSiro	 V	IMPV|(IV)|LEM:>aboSara|ROOT:bSr|2MS
(19:38:4)	yawoma	 T	LEM:yawom|ROOT:ywm|M|ACC
(19:38:5)	ya>otuwnanaA	 V	IMPF|LEM:>ataY|ROOT:Aty|3MP
(19:38:6)	la`kini	 AMD	LEM:la`kin
(19:38:7)	{lZ~a`limuwna	 N	ACT|PCPL|LEM:ZaAlim|ROOT:Zlm|MP|NOM
(19:38:8)	{loyawoma	 T	LEM:yawom|ROOT:ywm|M|ACC
(19:38:9)	fiY	 P	LEM:fiY
(19:38:10)	Dala`lK	 N	LEM:Dala`l|ROOT:Dll|M|INDEF|GEN
(19:38:11)	m~ubiynK	 ADJ	ACT|PCPL|(IV)|LEM:m~ubiyn|ROOT:byn|M|INDEF|GEN
(19:39:1)	wa>an*irohumo	V	IMPV|(IV)|LEM:>an*ara|ROOT:n*r|2MS
(19:39:2)	yawoma	 T	LEM:yawom|ROOT:ywm|M|ACC
(19:39:3)	{loHasorapi	 N	LEM:Hasorap|ROOT:Hsr|F|GEN
(19:39:4)	<i*o	 T	LEM:<i*
(19:39:5)	quDiYa	 V	PERF|PASS|LEM:qaDaY`^|ROOT:qDy|3MS
(19:39:6)	{lo>amoru	 N	LEM:>amor|ROOT:Amr|M|NOM
(19:39:7)	wahumo	 PRON	3MP
(19:39:8)	fiY	 P	LEM:fiY
(19:39:9)	gafolapK	 N	LEM:gafolap|ROOT:gfl|F|INDEF|GEN
(19:39:10)	wahumo	 PRON	3MP
(19:39:11)	laA	 NEG	LEM:laA
(19:39:12)	yu&ominuwna	 V	IMPF|(IV)|LEM:'aAmana|ROOT:Amn|3MP
(19:40:1)	<in~aA	ACC	LEM:<in~|SP:<in~
(19:40:2)	naHonu	 PRON	1P
(19:40:3)	narivu	 V	IMPF|LEM:wariva|ROOT:wrv|1P
(19:40:4)	{lo>aroDa	 N	LEM:>aroD|ROOT:ArD|F|ACC
(19:40:5)	wamano	 REL	LEM:man
(19:40:6)	EalayohaA	 P	LEM:EalaY`
(19:40:7)	wa<ilayonaA	 P	LEM:<ilaY`
(19:40:8)	yurojaEuwna	 V	IMPF|PASS|LEM:rajaEa|ROOT:rjE|3MP
(19:41:1)	wa{*okuro	V	IMPV|LEM:*akara|ROOT:*kr|2MS
(19:41:2)	fiY	 P	LEM:fiY
(19:41:3)	{lokita`bi	 N	LEM:kita`b|ROOT:ktb|M|GEN
(19:41:4)	<ibora`hiyma	 PN	LEM:<iboraAhiym|M|ACC
(19:41:5)	<in~ahu,	 ACC	LEM:<in~|SP:<in~
(19:41:6)	kaAna	 V	PERF|LEM:kaAna|ROOT:kwn|SP:kaAn|3MS
(19:41:7)	Sid~iyqFA	 N	LEM:Sid~iyq|ROOT:Sdq|M|INDEF|ACC
(19:41:8)	n~abiy~FA	 N	LEM:n~abiY~|ROOT:nbA|M|INDEF|ACC
(19:42:1)	<i*o	T	LEM:<i*
(19:42:2)	qaAla	 V	PERF|LEM:qaAla|ROOT:qwl|3MS
(19:42:3)	li>abiyhi	 N	LEM:>abN|ROOT:Abw|MS|GEN
(19:42:4)	ya`^>abati	 N	LEM:>abN|ROOT:Abw|MS|ACC
(19:42:5)	lima	 INTG	LEM:maA
(19:42:6)	taEobudu	 V	IMPF|LEM:Eabada|ROOT:Ebd|2MS
(19:42:7)	maA	 REL	LEM:maA
(19:42:8)	laA	 NEG	LEM:laA
(19:42:9)	yasomaEu	 V	IMPF|LEM:samiEa|ROOT:smE|3MS
(19:42:10)	walaA	 NEG	LEM:laA
(19:42:11)	yuboSiru	 V	IMPF|(IV)|LEM:>aboSara|ROOT:bSr|3MS
(19:42:12)	walaA	 NEG	LEM:laA
(19:42:13)	yugoniY	 V	IMPF|(IV)|LEM:>agonato|ROOT:gny|3MS
(19:42:14)	Eanka	 P	LEM:Ean
(19:42:15)	$ayo_#FA	 N	LEM:$aYo'|ROOT:$yA|M|INDEF|ACC
(19:43:1)	ya`^>abati	N	LEM:>abN|ROOT:Abw|MS|ACC
(19:43:2)	<in~iY	 ACC	LEM:<in~|SP:<in~
(19:43:3)	qado	 CERT	LEM:qad
(19:43:4)	jaA^'aniY	 V	PERF|LEM:jaA^'a|ROOT:jyA|3MS
(19:43:5)	mina	 P	LEM:min
(19:43:6)	{loEilomi	 N	LEM:Eilom|ROOT:Elm|M|GEN
(19:43:7)	maA	 REL	LEM:maA
(19:43:8)	lamo	 NEG	LEM:lam
(19:43:9)	ya>otika	 V	IMPF|LEM:>ataY|ROOT:Aty|3MS|MOOD:JUS
(19:43:10)	fa{t~abiEoniY^	 V	IMPV|(VIII)|LEM:{t~abaEa|ROOT:tbE|2MS
(19:43:11)	>ahodika	 V	IMPF|LEM:hadaY|ROOT:hdy|1S|MOOD:JUS
(19:43:12)	Sira`TFA	 N	LEM:Sira`T|ROOT:SrT|M|INDEF|ACC
(19:43:13)	sawiy~FA	 ADJ	LEM:sawiy~|ROOT:swy|MS|INDEF|ACC
(19:44:1)	ya`^>abati	N	LEM:>abN|ROOT:Abw|MS|ACC
(19:44:2)	laA	 PRO	LEM:laA
(19:44:3)	taEobudi	 V	IMPF|LEM:Eabada|ROOT:Ebd|2MS|MOOD:JUS
(19:44:4)	{l$~ayoTa`na	 PN	LEM:$ayoTa`n|ROOT:$Tn|M|ACC
(19:44:5)	<in~a	 ACC	LEM:<in~|SP:<in~
(19:44:6)	{l$~ayoTa`na	 PN	LEM:$ayoTa`n|ROOT:$Tn|M|ACC
(19:44:7)	kaAna	 V	PERF|LEM:kaAna|ROOT:kwn|SP:kaAn|3MS
(19:44:8)	lilr~aHoma`ni	 N	LEM:r~aHoma`n|ROOT:rHm|MS|GEN
(19:44:9)	EaSiy~FA	 N	LEM:EaSiy~|ROOT:ESy|MS|INDEF|ACC
(19:45:1)	ya`^>abati	N	LEM:>abN|ROOT:Abw|MS|ACC
(19:45:2)	<in~iY^	 ACC	LEM:<in~|SP:<in~
(19:45:3)	>axaAfu	 V	IMPF|LEM:xaAfa|ROOT:xwf|1S
(19:45:4)	>an	 SUB	LEM:>an
(19:45:5)	yamas~aka	 V	IMPF|LEM:mas~a|ROOT:mss|3MS|MOOD:SUBJ
(19:45:6)	Ea*aAbN	 N	LEM:Ea*aAb|ROOT:E*b|M|INDEF|NOM
(19:45:7)	m~ina	 P	LEM:min
(19:45:8)	{lr~aHoma`ni	 N	LEM:r~aHoma`n|ROOT:rHm|MS|GEN
(19:45:9)	fatakuwna	 V	IMPF|LEM:kaAna|ROOT:kwn|SP:kaAn|2MS|MOOD:SUBJ
(19:45:10)	lil$~ayoTa`ni	 PN	LEM:$ayoTa`n|ROOT:$Tn|M|GEN
(19:45:11)	waliy~FA	 N	LEM:waliY~|ROOT:wly|M|INDEF|ACC
(19:46:1)	qaAla	V	PERF|LEM:qaAla|ROOT:qwl|3MS
(19:46:2)	>araAgibN	 N	ACT|PCPL|LEM:raAgib|ROOT:rgb|M|INDEF|NOM
(19:46:3)	>anta	 PRON	2MS
(19:46:4)	Eano	 P	LEM:Ean
(19:46:5)	'aAlihatiY	 N	LEM:<ila`h|ROOT:Alh|MP|GEN
(19:46:6)	ya`^<ibora`hiymu	 PN	LEM:<iboraAhiym|M|NOM
(19:46:7)	la}in	 COND	LEM:<in
(19:46:8)	l~amo	 NEG	LEM:lam
(19:46:9)	tantahi	 V	IMPF|(VIII)|LEM:{ntahaY`|ROOT:nhy|2MS|MOOD:JUS
(19:46:10)	la>arojuman~aka	 V	IMPF|LEM:rajamo|ROOT:rjm|1S
(19:46:11)	wa{hojuroniY	 V	IMPV|LEM:{hojuro|ROOT:hjr|2MS
(19:46:12)	maliy~FA	 N	LEM:maliy~|ROOT:mlw|M|INDEF|ACC
(19:47:1)	qaAla	V	PERF|LEM:qaAla|ROOT:qwl|3MS
(19:47:2)	sala`mN	 N	LEM:sala`m|ROOT:slm|M|INDEF|NOM
(19:47:3)	Ealayoka	 P	LEM:EalaY`
(19:47:4)	sa>asotagofiru	 V	IMPF|(X)|LEM:{sotagofara|ROOT:gfr|1S
(19:47:5)	laka	 PRON	2MS
(19:47:6)	rab~iY^	 N	LEM:rab~|ROOT:rbb|M|ACC
(19:47:7)	<in~ahu,	 ACC	LEM:<in~|SP:<in~
(19:47:8)	kaAna	 V	PERF|LEM:kaAna|ROOT:kwn|SP:kaAn|3MS
(19:47:9)	biY	 PRON	1S
(19:47:10)	Hafiy~FA	 N	LEM:Hafiy~|ROOT:Hfw|MS|INDEF|ACC
(19:48:1)	wa>aEotazilukumo	V	IMPF|(VIII)|LEM:{Eotazala|ROOT:Ezl|1S
(19:48:2)	wamaA	 REL	LEM:maA
(19:48:3)	tadoEuwna	 V	IMPF|LEM:daEaA|ROOT:dEw|2MP
(19:48:4)	min	 P	LEM:min
(19:48:5)	duwni	 N	LEM:duwn|ROOT:dwn|GEN
(19:48:6)	{ll~ahi	 PN	LEM:{ll~ah|ROOT:Alh|GEN
(19:48:7)	wa>adoEuwA@	 V	IMPF|LEM:daEaA|ROOT:dEw|1S
(19:48:8)	rab~iY	 N	LEM:rab~|ROOT:rbb|M|ACC
(19:48:9)	EasaY`^	 V	PERF|LEM:EasaY|ROOT:Esy|3MS
(19:48:10)	>al~aA^	 SUB	LEM:>an
(19:48:11)	>akuwna	 V	IMPF|LEM:kaAna|ROOT:kwn|SP:kaAn|1S|MOOD:SUBJ
(19:48:12)	biduEaA^'i	 N	LEM:duEaA^'|ROOT:dEw|M|GEN
(19:48:13)	rab~iY	 N	LEM:rab~|ROOT:rbb|M|GEN
(19:48:14)	$aqiy~FA	 ADJ	LEM:$aqiy~|ROOT:$qw|MS|INDEF|ACC
(19:49:1)	falam~aA	T	LEM:lam~aA
(19:49:2)	{Eotazalahumo	 V	PERF|(VIII)|LEM:{Eotazala|ROOT:Ezl|3MS
(19:49:3)	wamaA	 REL	LEM:maA
(19:49:4)	yaEobuduwna	 V	IMPF|LEM:Eabada|ROOT:Ebd|3MP
(19:49:5)	min	 P	LEM:min
(19:49:6)	duwni	 N	LEM:duwn|ROOT:dwn|GEN
(19:49:7)	{ll~ahi	 PN	LEM:{ll~ah|ROOT:Alh|GEN
